name,1664 Blanc,312 Urban Wheat,ARK Be High IPA,Ambar Especial,Apostel Brau,Asahi Super Dry Black,Asahi super dry,BINTANG pilsner,BURGE MEESTER,Bali Hai Premium,Berliner Kindl Pilsener ,Blue Girl,Blue Moon Belgian White,Budweiser ,Cafri,Carlsberg,Cass Lemon,Cass Light,Desperados,Desperados Lime,Desperados Mojito,Desperados Red,Edelweiss Snowfresh,Egger Marzenbier,Egger Radler Grapefruit,Egger Zwickl,Erdinger Dunkel,Erdinger Weissbier,Fil Good Original,Filite,Franziskaner Premium Weissbier,Gambrinus Original,Goose Island Goose IPA,Grimbergen Blonde,Grolsch Premium Lager / Premium Pilsner,Guinness original,Harbin Beer,Hefe-Weissbier,Heineken,Heineken Dark Lager,Heretic Evil Twin,Hoegaarden Original White Ale,Hoegaarden Rosee,Hollandia,Holsten Premium,Hop House 13,JEJU WIT ALE,Jeju Pellong Ale,Kabrew Namsan Mountain Premium Citra Ale,Kirin ichiban,Kona Big Wave Golden Ale,Kozel Dark 10,Lapin Kulta IV A,Leffe Blonde / Blond,Leffe Brown,Lowenbrau Original,Miller Genuine Draft,OB Golden Lager,OB premier pilsner,PEEPER,Peroni Nastro Azzurro,Platinum Pale Ale,Queen's Ale Blonde Type,REEPER B Weissbier,Red Rock,San Miguel,Sapporo Premium Beer,Schöfferhofer Grapefruit,Stephans Bräu Hefeweizen Hefetrüb,Stephans Bräu Pilsner,Stephans Bräu Schwarzbier,Suntory The Premium Malt's,TIGER BEER,TSINGTAO WHEAT BEER,Tsingtao,Warsteiner Premium Fresh,XXXX Gold,YEBISU,beck's,cass fresh,dry finish,fitz super clear,guinness draught,hite extra cold,kloud,krombacher weizen,max hite,pilsner urquell,stella artois,stout,victoria bitter
Egger Radler Grapefruit,0.15729866847073282,0.16427718046983494,0.10488675350383754,0.0698619404114163,0.1811190693065995,0.03686944767195648,0.12294778881216895,0.25296197452119473,0.0,0.2937315620565206,0.11493766649328924,0.20712759420195306,0.35164688549611944,0.3208662674458131,0.2376470624635535,0.13653968602518116,0.2591982992751908,0.07922463013953342,0.12673965767279263,0.6728811701509144,0.02449814654485641,0.3981607891788978,0.209648309348568,0.0,0.9999999999999999,0.08156695036847375,0.09882224759655858,0.35159069246859365,0.22759799813225637,0.0,0.2013387850726891,0.1731381871013177,0.354139068740907,0.2870427206751422,0.3011730356420447,0.19302030976185777,0.4096192793133477,0.17906914133154148,0.2922725466780413,0.08090181167407713,0.1826194058588631,0.12377800746135535,0.34026020281133723,0.2894054010006285,0.29551198629701464,0.15175643494199617,0.0,0.0,0.6507472324330105,0.10846273292748863,0.28552798119426737,0.4267538902134873,0.0904105453242042,0.02533140127694269,0.18780655735467286,0.13518094973714959,0.12141629372266749,0.32826250795282363,0.25370996452683536,0.274194046181395,0.226847833823418,0.0,0.017826654364298696,0.061194728728692686,0.08155943139074982,0.4388448216563604,0.4906943750283592,0.12506710849952646,0.06109375743301938,0.023006771469199497,0.4540885079300167,0.36329100664998937,0.45313776040849746,0.19080242431975336,0.23424259940290557,0.27682026284442357,0.15369867427127326,0.2364209768122476,0.06250419793203636,0.04360155134334518,0.33398886635729513,0.0,0.2545272516184843,0.3337320106343505,0.42507203464901977,0.23401338616513367,0.10463056855030362,0.13271999671521606,0.2211891012657665,0.1336271001054291,0.37246740910488985
Egger Zwickl,0.14294213825599314,0.3181463941213781,0.10052477267830935,0.4261933415888079,0.5195857653901663,0.5209948909022668,0.43118522344871313,0.4142687278135593,0.0,0.3079876442611304,0.17886348063402466,0.4349048659520753,0.38005529319984993,0.25701196684221167,0.12569316470454034,0.3759856809651753,0.5697556288454744,0.010776433906264773,0.12552434421430797,0.01817795182671887,0.08401904681621143,0.4211838410566129,0.10279715953373664,0.0,0.08156695036847375,1.0,0.1391375426781188,0.19147818231439018,0.15454306787688057,0.0,0.16367757215423775,0.15372020700994432,0.3420500010953791,0.2687955968535683,0.42848806275537066,0.30268853082172453,0.36775013797870976,0.21347703947420404,0.4286048199348152,0.15300637108261894,0.3512904468108482,0.16136476502995065,0.08315406513874855,0.2539871291449265,0.22916109495808906,0.2810099112855354,0.16119270568195632,0.08742165205281169,0.03502372350990869,0.19690781458974896,0.31619271597671517,0.27966367044059337,0.6028251952459782,0.010767728227843153,0.4018572682663537,0.183389916739235,0.4787779310416112,0.33440874230380324,0.2568862114523063,0.24790287780796175,0.15285009484564394,0.0,0.13322484843603524,0.03822216661581939,0.39243736729562806,0.3115870597028424,0.31324192438439674,0.21591681015093264,0.4803983749268722,0.02154769175951821,0.5393788949528251,0.4238555250874221,0.42052035942548655,0.13585628424291202,0.36534294352009483,0.2727971828207264,0.250543967670813,0.4883761300734831,0.26875739979044533,0.19162079089312978,0.18887716627301818,0.0,0.17041798799892763,0.21384911572390575,0.27751975488766406,0.3851227092198013,0.4577196297468833,0.24803909349921938,0.5876895363372573,0.06415068467185701,0.4111680933368205
Erdinger Dunkel,0.16840188943001166,0.43446114430095106,0.2591376051345889,0.5661117223497357,0.3402897642363391,0.5428061340159394,0.2932768662706469,0.2928993303324266,0.0,0.33254506727655253,0.3961617383780947,0.32748668863249364,0.35812357889243834,0.3460578905209869,0.3014685801759522,0.2875551998703245,0.03955124364042136,0.41249566389903347,0.34254862129876434,0.06439852921301377,0.2661409836853208,0.3530837678870273,0.3009274310662739,0.0,0.09882224759655858,0.1391375426781188,1.0,0.6117452172487228,0.14121999992001064,0.07482887566605792,0.4672884233588904,0.46051830351624723,0.28948728731476564,0.4157821517415995,0.36449910932779334,0.6166593883704798,0.3154573110375141,0.7529314566588436,0.528291285927176,0.5127193933379415,0.37090585351883215,0.2508682578729539,0.11463949947821393,0.3732490380208245,0.3947429022222608,0.40507600248033115,0.056403757984407846,0.22214453238549625,0.024640553594731267,0.5219106438467002,0.40861243856682056,0.7272179107623787,0.16174850064522983,0.3456049102172852,0.6654143617366383,0.4307921261152881,0.42276742892718105,0.5823258560585983,0.5214408619489638,0.38746987356324536,0.6797576041784595,0.0,0.38884313439897805,0.19421484509904186,0.49027948429357954,0.34852961496304263,0.5943458005906368,0.3874008916225831,0.4573981134904825,0.2875325460948604,0.5301953871648878,0.3514915872486445,0.4624065038323621,0.39825464401714383,0.4006776445796892,0.31860054573702257,0.2205438369644211,0.4429630458955028,0.4053107870695452,0.2015072528752376,0.3718356864613401,0.0,0.4902603499007806,0.3622348355535855,0.4640950462772073,0.4736526748416672,0.4205573742489255,0.4781357803238804,0.46921843254842405,0.46848787661524666,0.23510697419517193
Erdinger Weissbier,0.3323789544958628,0.5574028012906712,0.21127604501243682,0.35338324922112463,0.37198872665029437,0.40243186626996136,0.3408440680696872,0.4481149507648029,0.045250211095048766,0.41787921299510833,0.4434546185779285,0.32224057764156055,0.4386498891987267,0.463679455830919,0.2629068658839732,0.2562921265229101,0.1274110530394277,0.40401654820121297,0.22981183344160833,0.25818491266174654,0.27084737320602637,0.45655738726388934,0.361598135912481,0.0,0.35159069246859365,0.19147818231439018,0.6117452172487228,1.0,0.24878248506385345,0.09050042219009753,0.5035395654697467,0.44224000760591803,0.2797893895086391,0.5594377587982085,0.5137032683802197,0.5325643240134328,0.4778169649845665,0.721437477471158,0.5058546367126525,0.5043463505432915,0.3484657445884097,0.42615940851432055,0.26737449201561153,0.5698391978699712,0.46506557970148793,0.49525189440921646,0.18686254077580902,0.1777340557017965,0.22588857792796488,0.44539369737952555,0.535597669589347,0.5572773211884379,0.21439720917646832,0.015938749381180638,0.6741853030328104,0.4353051601332212,0.5012950084765434,0.6154631581737657,0.5225634758743379,0.47541262827903696,0.5230880068740854,0.0,0.1993130984610834,0.1791643363112295,0.33221046728506165,0.509114687344756,0.5601606805042503,0.41399048911683106,0.33819313973873355,0.16271551253145827,0.50582999957885,0.5069546098228602,0.5404662742517493,0.4356023430446438,0.3311242465259622,0.41163458459767965,0.3076104781647305,0.46888049309718316,0.4059410622863244,0.2615114830306674,0.4096239140123588,0.0,0.4986359914231806,0.44308131089987934,0.543610293277921,0.705178287347465,0.43087564372207654,0.38577907125331806,0.5647403462896758,0.27742606129056047,0.3226293243038714
Fil Good Original,0.20345963877946743,0.33632188391689494,0.18547400549958962,0.09271823963436078,0.46135498231629773,0.13665921571064923,0.19832595506288633,0.2819929339638867,0.0,0.4420548964797277,0.45146086453879414,0.2975224251647303,0.17445908827313097,0.23645126286990784,0.34507127541279026,0.26910462779268124,0.15245568874014961,0.10245753559872633,0.25802215741094364,0.0,0.1528769240427593,0.09497289073988281,0.2520861686112224,0.6510394529756643,0.22759799813225637,0.15454306787688057,0.14121999992001064,0.24878248506385345,0.9999999999999997,0.0,0.037006947603777915,0.3090535357718469,0.282695579318399,0.10995842980591337,0.36581643681533854,0.16304099762164206,0.32345513980997825,0.18886769578509,0.3734162688189516,0.18165739657536784,0.1053973699973679,0.16951560837251223,0.0,0.29387328819068426,0.34350206035214537,0.31323263487003467,0.0,0.07380287196800776,0.0,0.2979176780546795,0.20326842812019835,0.14853006938412017,0.15377732962447901,0.0,0.1958385314634856,0.49148072304267854,0.1473803862137211,0.5648026321223049,0.3007961330565447,0.30442347996911034,0.34109426635192913,0.0,0.13682332759681803,0.13728419607902337,0.1487620251714789,0.23388353151128746,0.24081078476686235,0.02771670032453927,0.043948395748582385,0.16440376122949116,0.17542933345536102,0.34931798633108957,0.2560093983933608,0.2848237525978554,0.2362865258028182,0.23313522498626277,0.21512430469355276,0.13965787203644361,0.3059030138553542,0.1798698497933838,0.3134534925593769,0.0,0.17567011636743554,0.3760886608863367,0.10126514255145021,0.2572187601700628,0.14435563434693818,0.34423569819722993,0.20757147720319924,0.08853916715254355,0.10504720652836007
Filite,0.02779872823248168,0.08696898276930021,0.17858716011476425,0.05951700909080511,0.10230529411667937,0.2511054917718931,0.28800412056730557,0.3805605254553564,0.0,0.08412611676284121,0.11072893112825137,0.2752455117906411,0.1395382857254425,0.420096007289838,0.09508866839915928,0.2754426284737203,0.09357007770311072,0.0,0.2713134406747232,0.3650769139305225,0.20914020130787195,0.23436275258044598,0.0791601830672627,0.0,0.0,0.0,0.07482887566605792,0.09050042219009753,0.0,1.0,0.088422234130505,0.15149711247688125,0.038711290805781756,0.0,0.3026821207914959,0.29408444049772514,0.11474035764913573,0.14958541002422038,0.14306731864529032,0.22485847210057702,0.09056410463922951,0.13400453256504968,0.0,0.1260613929435069,0.0717328436982345,0.0,0.0,0.0,0.32929204635782233,0.21404787581702897,0.10163188527882998,0.12148341574797203,0.0,0.0,0.07120220653580746,0.04525909753038742,0.4056342711994534,0.038862223617014705,0.24365159559097263,0.045534941774236705,0.11788663873629286,0.0,0.1521858021205308,0.0,0.06313794999839707,0.24865285295405917,0.1886026999929554,0.21036068837302555,0.0,0.3928167224979582,0.0506012974636688,0.1747894421660961,0.02620550133492688,0.0,0.07149375594344588,0.24137060799935572,0.27732936317184703,0.15475425542682675,0.14234670853076664,0.2477680399743064,0.20032864083940896,0.0,0.1100278551597127,0.15258446892990288,0.0,0.05150383551996526,0.12345365840293773,0.0,0.0,0.1278774217829745,0.42683806745737796
Franziskaner Premium Weissbier,0.3295818233900525,0.4604926770202732,0.3945224803343269,0.3830932106085988,0.3108566651929088,0.2830584911652531,0.31105234649359853,0.2956576625813129,0.088422234130505,0.23540397373565652,0.2848226694197054,0.2598910614277126,0.5904257413517744,0.36923190583605114,0.1635084859311342,0.3074405139129084,0.138328982095078,0.10061552143118926,0.32383362125587145,0.187694303152286,0.301849907389016,0.46955581983039735,0.4258969950294598,0.0,0.2013387850726891,0.16367757215423775,0.4672884233588904,0.5035395654697467,0.037006947603777915,0.088422234130505,1.0000000000000004,0.22797152535281814,0.18589417673945466,0.46209170943004146,0.34718815556529586,0.4028394862031073,0.2984885047229092,0.7573106705922378,0.26147879545648345,0.3363647761764773,0.29543297681639735,0.5449097595754264,0.13506772751695156,0.38245995851626596,0.27522818510911545,0.3991350758759061,0.09388511924287159,0.3033362929069478,0.463746513886774,0.33062764646836407,0.44464793173488165,0.43995318280552415,0.21832296210485705,0.39800541500770725,0.4721916700671188,0.2664833028412663,0.42562868470160276,0.32446475510792266,0.39685045710991584,0.3960809934354397,0.47886655902412956,0.0,0.4206442356182097,0.44690050321205627,0.29445963442426115,0.3235987494235493,0.3194297898430406,0.7007599575388442,0.6273904474849541,0.31226627794101997,0.421257022167355,0.3475120604143568,0.3543336747523151,0.4508432314618479,0.30832187002692957,0.34985719981310537,0.18228259106801534,0.29511701780615224,0.48776630294042594,0.17262613966181142,0.13209201373412277,0.0,0.3233783663583209,0.3101025941005393,0.36225562574396913,0.703381100734478,0.4016624654233117,0.36287937374798546,0.34994609961933026,0.39894310007263795,0.3884404472279883
Gambrinus Original,0.346014161935924,0.3900983995267135,0.23233858312383043,0.4790270678087382,0.7430777214981742,0.6112521904574242,0.41931983277592527,0.6154337838517209,0.10099807498458749,0.748770831241126,0.7109214014390637,0.6019206215658165,0.3747493530341308,0.5022248374759973,0.5236953793026916,0.5240488448136554,0.05938714430467636,0.39893562166393676,0.5539125048342561,0.29360990861205616,0.4107899014085665,0.4290677514094575,0.2867218137032466,0.2356621749640375,0.1731381871013177,0.15372020700994432,0.46051830351624723,0.44224000760591803,0.3090535357718469,0.15149711247688125,0.22797152535281814,1.0,0.5343799779202808,0.448900365138037,0.6532391645129889,0.46046614770411237,0.6044736228139631,0.3437632384338408,0.7751361894380498,0.41895316235430935,0.4231489301025934,0.22119996434726166,0.06364368620134365,0.6263632546230943,0.7384034076618984,0.6011369261014649,0.12820931012065062,0.35588318535937075,0.1164025197645646,0.7758155274458126,0.4901422744684326,0.6431843117122551,0.4281604729708735,0.11325314590094882,0.4105688442649126,0.7043413079727783,0.49381194552800756,0.7941123112594134,0.5357415395567219,0.5666812085584938,0.6282884042416962,0.0,0.3928112419849131,0.20294243269100107,0.36180810289946136,0.7370594436740596,0.6750683525633816,0.25632132537096913,0.3253799507047343,0.21925317144578504,0.41671476492756604,0.6264259000801929,0.6090008871494964,0.11408337657146937,0.6385893489616692,0.5216794854623314,0.5295745617284816,0.6391976295813586,0.5117708691375731,0.5879226451447344,0.7000346382351521,0.0,0.3422689846661573,0.8361575717980744,0.5453699833570513,0.40989246878774643,0.5900169405338652,0.5629228961496454,0.5083882316674805,0.2396269849958864,0.5744643275543841
Goose Island Goose IPA,0.33176138232762825,0.31639561133796623,0.25259358109716384,0.3063479153248233,0.4955801450732174,0.42461708309008855,0.3040993753167941,0.45116983897156193,0.038711290805781756,0.5456398071291979,0.4102492860227837,0.31623447626578677,0.35379047280370174,0.284988987854211,0.42579546371215377,0.45083821307710864,0.40070693713088457,0.2878478122019263,0.23559290293895588,0.26682346122139744,0.2831820534767576,0.4508023680959948,0.21291284558436885,0.18065269042698154,0.354139068740907,0.3420500010953791,0.28948728731476564,0.2797893895086391,0.282695579318399,0.038711290805781756,0.18589417673945466,0.5343799779202808,1.0,0.42081138710990196,0.6194265997867532,0.43351401595716926,0.4524322344068062,0.3230391716099261,0.6333569974048501,0.2637547103653509,0.5115810727835644,0.2407634401718115,0.09965727759503902,0.43807429730297626,0.47688302148677647,0.7127093526298787,0.19974807229511288,0.3127337930615048,0.2692022820979575,0.4792333715441338,0.5348671076227465,0.43877356746359397,0.3357767825728887,0.07691278070422781,0.35286371997179417,0.44362556734589054,0.3936063458238273,0.5682390889503888,0.3593658184317827,0.6276117025769766,0.3693320394107505,0.0,0.40671542797078675,0.16750264359323916,0.40202329911713997,0.48816363996231904,0.49987415172198535,0.33927860228961515,0.33352267105333677,0.03507619375190278,0.5508017548114992,0.6280752155459154,0.5849050551793734,0.11370037234760026,0.4852818109774762,0.5275153878218549,0.44241069752833523,0.4706265230149884,0.31312934282998506,0.4068895743353547,0.44830937333443455,0.0,0.4184505682168316,0.4975201766173766,0.3416116272558781,0.4817145776639692,0.3603205508527832,0.47829474396252,0.5164483483027993,0.3167987305133776,0.4664812958792598
Grimbergen Blonde,0.3608863733347186,0.4439042370297792,0.4098645819862433,0.560446782852069,0.5014377057512002,0.3374643390297999,0.38867617583834274,0.5076999745906622,0.09750738616794767,0.5029183769962543,0.497495492560775,0.41647309090231066,0.3789655807600234,0.41319743611358745,0.33180846574872613,0.3516960711367634,0.26861260874327425,0.30338665432569506,0.4087961699059971,0.2991350292192279,0.4739954592866209,0.5878001813941276,0.3134301796312815,0.0,0.2870427206751422,0.2687955968535683,0.4157821517415995,0.5594377587982085,0.10995842980591337,0.0,0.46209170943004146,0.448900365138037,0.42081138710990196,0.9999999999999994,0.5738629540668903,0.5170222541594764,0.3795576807245901,0.5986622651107569,0.6229750181621585,0.3519363156038909,0.45326425317342456,0.34789842622623973,0.2665122680940283,0.6137448052434877,0.5116572520660926,0.6098166267022325,0.13584401099705937,0.5154317430072773,0.21483777688409916,0.4473501545279046,0.7063402628037911,0.5643032454990101,0.31913232474018377,0.25249749854894227,0.5579806606790159,0.5539862922884465,0.561053798358804,0.5495902546502575,0.5456547623952475,0.6063676123592188,0.4324428291002387,0.0,0.467193722104237,0.4087181533302076,0.4542518114239393,0.6763978255336248,0.4848686644706713,0.45775476204306265,0.5663394429764721,0.226041747923833,0.5884189452202716,0.5478739209403137,0.7558599993282445,0.21269239938770193,0.4594222059993783,0.5642562553389792,0.35916816681119484,0.6109244928724994,0.5702014983327228,0.4425073732035805,0.5345429975518556,0.0,0.4566848722560875,0.4845851990796792,0.673839159342037,0.5827397810790551,0.6260800276918228,0.3895409053007223,0.5965158386931037,0.4238847333110267,0.3506205455578015
