,Aroma,Appearance,Flavor,Mouthfeel,Overall,맥주도수,맥주IBU,맥주칼로리
0,0.2148757968155901,0.2916237886973727,0.23948775119344323,0.22215075894006586,0.2677187566291616,0.25319217160136165,0.42431279218678686,0.25365842723266674
2,0.48874088751895944,0.5560876265962131,0.5207415969470129,0.48431995816820783,0.5570320285522262,0.2566744203855794,0.4412713913296545,0.2561482790050038
1,0.7105583608669437,0.7883486066953511,0.7431332211208748,0.7413689919581179,0.7709153189688247,0.32831543083890957,0.5376148418743864,0.3279656614916585
