,Aroma,Appearance,Flavor,Mouthfeel,Overall,맥주도수
1,0.21470281692151133,0.29258577119116486,0.2392693803153455,0.22256606844563398,0.26753803599245446,0.25320486199697945
0,0.49084326435177594,0.5516099267338732,0.5215942268495564,0.4824202611138656,0.5584461898424796,0.2601900751822069
2,0.7080694756087414,0.7937920718025511,0.7423876007645611,0.7437827225130995,0.7693835373774732,0.32352086111020667
