,맥주,년,평점
117,Berliner Kindl Jubiläums Pilsener Premium, 2008,2.40625
118,Berliner Kindl Jubiläums Pilsener Premium, 2009,2.7199999999999998
119,Berliner Kindl Jubiläums Pilsener Premium, 2010,2.6999999999999997
120,Berliner Kindl Jubiläums Pilsener Premium, 2011,2.476923076923077
121,Berliner Kindl Jubiläums Pilsener Premium, 2012,2.844
122,Berliner Kindl Jubiläums Pilsener Premium, 2013,2.36
123,Berliner Kindl Jubiläums Pilsener Premium, 2014,2.668
124,Berliner Kindl Jubiläums Pilsener Premium, 2015,2.6518518518518515
125,Berliner Kindl Jubiläums Pilsener Premium, 2016,2.576
126,Berliner Kindl Jubiläums Pilsener Premium, 2017,2.7038461538461536
127,Berliner Kindl Jubiläums Pilsener Premium, 2018,2.715
128,Berliner Kindl Jubiläums Pilsener Premium, 2019,2.7333333333333334
129,Berliner Kindl Jubiläums Pilsener Premium, 2020,2.772727272727273
130,Berliner Kindl Jubiläums Pilsener Premium, 2021,2.9416666666666664
131,Berliner Kindl Jubiläums Pilsener Premium, 2022,2.95
132,Bintang Pilsener, 2001,2.2333333333333334
133,Bintang Pilsener, 2002,1.96875
134,Bintang Pilsener, 2003,1.8722222222222225
135,Bintang Pilsener, 2004,1.8866666666666667
136,Bintang Pilsener, 2005,2.086666666666667
137,Bintang Pilsener, 2006,1.9083333333333332
138,Bintang Pilsener, 2007,1.8857142857142857
139,Bintang Pilsener, 2008,1.85625
140,Bintang Pilsener, 2009,1.935
141,Bintang Pilsener, 2010,2.081818181818182
142,Bintang Pilsener, 2011,2.1666666666666665
143,Bintang Pilsener, 2012,2.0526315789473686
144,Bintang Pilsener, 2013,2.07
145,Bintang Pilsener, 2014,1.9833333333333332
146,Bintang Pilsener, 2015,2.068
147,Bintang Pilsener, 2016,2.0250000000000004
148,Bintang Pilsener, 2017,2.057377049180328
149,Bintang Pilsener, 2018,2.0844444444444443
150,Bintang Pilsener, 2019,2.4388888888888887
151,Bintang Pilsener, 2020,1.95
152,Bintang Pilsener, 2021,2.275
153,Bintang Pilsener, 2022,2.766666666666667
154,Blue Girl (5.0%), 2002,1.4
155,Blue Girl (5.0%), 2003,1.4
156,Blue Girl (5.0%), 2004,1.0
157,Blue Girl (5.0%), 2005,0.9333333333333332
158,Blue Girl (5.0%), 2006,2.1
159,Blue Girl (5.0%), 2007,0.6
160,Blue Girl (5.0%), 2008,0.7666666666666666
161,Blue Girl (5.0%), 2009,1.02
162,Blue Girl (5.0%), 2010,1.5666666666666664
163,Blue Girl (5.0%), 2012,2.1
164,Blue Girl (5.0%), 2013,1.5571428571428572
165,Blue Girl (5.0%), 2014,1.2333333333333334
166,Blue Girl (5.0%), 2015,1.4222222222222223
167,Blue Girl (5.0%), 2016,1.58
168,Blue Girl (5.0%), 2017,1.94
169,Blue Girl (5.0%), 2018,1.7333333333333332
170,Blue Girl (5.0%), 2019,2.1500000000000004
171,Blue Girl (5.0%), 2020,2.0
172,Blue Moon Belgian White, 2000,3.111111111111111
173,Blue Moon Belgian White, 2001,3.267272727272727
174,Blue Moon Belgian White, 2002,3.1050359712230216
175,Blue Moon Belgian White, 2003,2.98046875
176,Blue Moon Belgian White, 2004,3.065142857142857
177,Blue Moon Belgian White, 2005,3.0923444976076553
178,Blue Moon Belgian White, 2006,2.9968503937007878
179,Blue Moon Belgian White, 2007,3.0022662889518412
180,Blue Moon Belgian White, 2008,3.0296178343949043
181,Blue Moon Belgian White, 2009,2.923696682464455
182,Blue Moon Belgian White, 2010,2.9811688311688314
183,Blue Moon Belgian White, 2011,2.974496644295302
184,Blue Moon Belgian White, 2012,3.00796812749004
185,Blue Moon Belgian White, 2013,3.0073929961089494
186,Blue Moon Belgian White, 2014,2.9875
187,Blue Moon Belgian White, 2015,2.848
188,Blue Moon Belgian White, 2016,2.9243697478991595
189,Blue Moon Belgian White, 2017,3.2252631578947364
190,Blue Moon Belgian White, 2018,3.0585714285714283
191,Blue Moon Belgian White, 2019,3.06
192,Blue Moon Belgian White, 2020,3.1589285714285715
193,Blue Moon Belgian White, 2021,2.9833333333333334
194,Blue Moon Belgian White, 2022,2.864705882352941
195,Bright Leaf Peeper Red IPA, 2021,3.7399999999999998
196,Bright Leaf Peeper Red IPA, 2022,3.8
197,Budweiser, 2000,1.2347826086956522
198,Budweiser, 2001,1.4881856540084388
199,Budweiser, 2002,1.3986175115207373
200,Budweiser, 2003,1.4842696629213483
201,Budweiser, 2004,1.38
202,Budweiser, 2005,1.442517006802721
203,Budweiser, 2006,1.3241610738255034
204,Budweiser, 2007,1.3340314136125655
205,Budweiser, 2008,1.4848484848484849
206,Budweiser, 2009,1.5790909090909089
207,Budweiser, 2010,1.4211678832116788
208,Budweiser, 2011,1.6202380952380953
209,Budweiser, 2012,1.5826086956521739
210,Budweiser, 2013,1.7524663677130046
211,Budweiser, 2014,1.668421052631579
212,Budweiser, 2015,1.60625
213,Budweiser, 2016,1.9196261682242992
214,Budweiser, 2017,1.9595041322314048
